level_0,level_1,flagged_columns
breakfast_food,food,"131, 151, 209, 308"
breakfast_food,cereal,"131, 151, 209, 308"
grits,hot_cereal,"131, 151, 209, 308"
cereal,hot_cereal,"131, 151, 209, 308"
condition,safety,"5, 251, 325"
building_complex,plant,"98, 105, 113"
drop,sphere,"317, 319, 369"
anticipation,hope,"126, 197, 259"
round_shape,shape,"317, 319, 369"
round_shape,sphere,"317, 319, 369"
bog,mire,"84, 141, 176"
land,wetland,"84, 141, 176"
bog,wetland,"84, 141, 176"
condition,disorderliness,"134, 221, 337"
disorderliness,mess,"134, 221, 337"
people,sick,"143, 282, 364"
childcare,service,"155, 159, 281"
childcare,daycare,"155, 159, 281"
aid,service,"155, 159, 281"
impossibility,option,"175, 301, 363"
impossibility,impossible,"175, 301, 363"
shorebird,wading_bird,"38, 372, 378"
aquatic_bird,wading_bird,"38, 372, 378"
sandpiper,shorebird,"38, 372, 378"
martin,saint,"11, 110, 303"
chance,possibility,"37, 96, 273"
action,interaction,"32, 87, 119"
contact,interaction,"32, 87, 119"
meaning,message,"30, 135, 265"
leader,trainer,"20, 66, 91"
coach,trainer,"20, 66, 91"
cube,die,"255, 297, 357"
block,cube,"255, 297, 357"
artifact,block,"255, 297, 357"
attainment,success,"14, 149"
run,score,"14, 149"
score,success,"14, 149"
connection,linkage,"264, 374"
belief,doctrine,"260, 344"
doctrine,philosophical_doctrine,"260, 344"
aesthetic,philosophical_doctrine,"260, 344"
accomplishment,attainment,"14, 149"
link,linkage,"264, 374"
gramineous_plant,herb,"13, 218"
blog,diary,"249, 332"
structure,supporting_structure,"242, 298"
frame,framework,"242, 298"
framework,supporting_structure,"242, 298"
safe,strongbox,"238, 359"
box,strongbox,"238, 359"
activity,preparation,"235, 256"
planning,preparation,"235, 256"
adversity,misfortune,"221, 283"
facial_hair,hair,"19, 271"
facial_hair,whiskers,"19, 271"
adversity,disaster,"221, 283"
fortune,misfortune,"221, 283"
large_integer,thirty,"214, 336"
hunting,outdoor_sport,"208, 272"
gramineous_plant,grass,"13, 218"
hominid,human,"13, 334"
device,lifting_device,"205, 332"
elevator,lifting_device,"205, 332"
fellow,male,"21, 82"
body_of_water,ocean,"22, 256"
activity,turn,"204, 334"
photography,process,"24, 261"
photography,scanning,"24, 261"
starting,turn,"204, 334"
protective_covering,shield,"25, 321"
derivative_instrument,option,"26, 196"
derivative_instrument,legal_document,"26, 196"
chosen,darling,"26, 68"
darling,lover,"26, 68"
arthropod,insect,"203, 307"
bee,hymenopterous_insect,"203, 307"
hymenopterous_insect,insect,"203, 307"
arthropod,invertebrate,"203, 307"
animal,invertebrate,"203, 307"
educator,professional,"278, 376"
gathering,pair,"30, 346"
couple,pair,"30, 346"
familiarity,information,"201, 285"
poetry,writing_style,"199, 280"
educator,teacher,"278, 376"
analysis,investigation,"287, 306"
leading,strip,"32, 384"
barrage,language,"33, 372"
injustice,unrighteousness,"34, 245"
injustice,wrong,"34, 245"
amp,current_unit,"190, 200"
travel,water_travel,"35, 115"
ocean_trip,water_travel,"35, 115"
cruise,ocean_trip,"35, 115"
current_unit,electromagnetic_unit,"190, 200"
electromagnetic_unit,unit_of_measurement,"190, 200"
legal_document,return,"186, 258"
computer,website,"184, 226"
body,occupational_group,"36, 311"
ministry,priesthood,"36, 311"
occupational_group,profession,"36, 311"
priesthood,profession,"36, 311"
hostel,hotel,"36, 384"
Apostle,peter,"184, 335"
action,taking,"11, 332"
disciple,follower,"184, 335"
athletic_game,outdoor_game,"10, 284"
field_game,outdoor_game,"10, 284"
field_game,hockey,"10, 284"
couch,seat,"38, 269"
health_professional,medical_practitioner,"38, 157"
doctor,medical_practitioner,"38, 157"
health_professional,professional,"38, 157"
Apostle,disciple,"184, 335"
peter,saint,"184, 335"
printer,skilled_worker,"184, 312"
atmospheric_phenomenon,storm,"180, 356"
adventure,undertaking,"179, 348"
reluctance,sloth,"41, 44"
reluctance,unwillingness,"41, 44"
disposition,unwillingness,"41, 44"
anxiety,emotion,"179, 353"
electricity,physical_phenomenon,"42, 200"
anxiety,disquiet,"179, 353"
chemical_analysis,dating,"287, 306"
analysis,chemical_analysis,"287, 306"
family,unit,"43, 236"
outside,region,"165, 222"
simpleton,stupid,"164, 254"
furniture,table,"160, 326"
adipose_tissue,animal_tissue,"45, 95"
adipose_tissue,cellulite,"45, 95"
broadcasting,radio,"45, 276"
desk,table,"160, 326"
skate,sports_equipment,"156, 157"
field,tract,"155, 244"
plus,quality,"46, 51"
jar,vessel,"155, 188"
absence,lack,"48, 175"
liquid_unit,volume_unit,"289, 290"
United_States_liquid_unit,liquid_unit,"289, 290"
United_States_liquid_unit,gallon,"289, 290"
neighbourhood,section,"50, 321"
area,section,"50, 321"
spouse,wife,"154, 173"
election,primary,"150, 192"
disharmony,dissonance,"144, 289"
dissonance,sound_property,"144, 289"
unit_of_measurement,volume_unit,"289, 290"
month,time_period,"137, 232"
negative_stimulus,stimulation,"136, 367"
burden,concern,"136, 367"
concern,negative_stimulus,"136, 367"
information,stimulation,"136, 367"
motion,traveling,"135, 178"
coldness,vasoconstrictor,"135, 194"
identity,personality,"290, 295"
small_indefinite_quantity,tad,"297, 298"
stage,time_period,"310, 321"
prevention,save,"316, 370"
